candidate_id,selling_price_ttc_hypothesis,net_revenue_vat20_scenario,payment_fees_2pct_plus_030_hypothesis,returns_sav_reserve_5pct_hypothesis,cpc_eur_proxy,cpc_stress_multiplier,cvr_hypothesis,expected_cpa_scenario,max_product_plus_shipping_eur,status
A1,59.9,49.9167,1.498,2.995,0.214464,1,0.01,21.4464,23.9773,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A1,59.9,49.9167,1.498,2.995,0.214464,1,0.015,14.2976,31.1261,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A1,59.9,49.9167,1.498,2.995,0.214464,1,0.02,10.7232,34.7005,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A1,59.9,49.9167,1.498,2.995,0.214464,1,0.03,7.1488,38.2749,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A1,59.9,49.9167,1.498,2.995,0.214464,1.5,0.01,32.1696,13.2541,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A1,59.9,49.9167,1.498,2.995,0.214464,1.5,0.015,21.4464,23.9773,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A1,59.9,49.9167,1.498,2.995,0.214464,1.5,0.02,16.0848,29.3389,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A1,59.9,49.9167,1.498,2.995,0.214464,1.5,0.03,10.7232,34.7005,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A2,79,65.8333,1.88,3.95,1.268446,1,0.01,126.8446,-66.8413,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A2,79,65.8333,1.88,3.95,1.268446,1,0.015,84.5631,-24.5597,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A2,79,65.8333,1.88,3.95,1.268446,1,0.02,63.4223,-3.419,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A2,79,65.8333,1.88,3.95,1.268446,1,0.03,42.2815,17.7218,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A2,79,65.8333,1.88,3.95,1.268446,1.5,0.01,190.2669,-130.2636,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
