candidate_id,keyword,volume,cpc,currency,scope,branded,core_group_id,counted_core_volume,group_id,counted_volume,exclusion_or_condition,endpoint,observed_at_utc,source,monthly_searches_json
A2,appareil à photo,110000,0.56,USD_DOCUMENTED,parent,False,,,,,photographie ou compact général,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:31.031518+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-0.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 110000}, {""year"": 2026, ""month"": 6, ""search_volume"": 110000}, {""year"": 2026, ""month"": 5, ""search_volume"": 110000}, {""year"": 2026, ""month"": 4, ""search_volume"": 110000}, {""year"": 2026, ""month"": 3, ""search_volume"": 110000}, {""year"": 2026, ""month"": 2, ""search_volume"": 90500}, {""year"": 2026, ""month"": 1, ""search_volume"": 110000}, {""year"": 2025, ""month"": 12, ""search_volume"": 165000}, {""year"": 2025, ""month"": 11, ""search_volume"": 165000}, {""year"": 2025, ""month"": 10, ""search_volume"": 110000}, {""year"": 2025, ""month"": 9, ""search_volume"": 90500}, {""year"": 2025, ""month"": 8, ""search_volume"": 110000}]"
A2,appareil photo,110000,0.56,USD_DOCUMENTED,parent,False,,,,,photographie ou compact général,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:31.031518+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-0.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 110000}, {""year"": 2026, ""month"": 6, ""search_volume"": 110000}, {""year"": 2026, ""month"": 5, ""search_volume"": 110000}, {""year"": 2026, ""month"": 4, ""search_volume"": 110000}, {""year"": 2026, ""month"": 3, ""search_volume"": 110000}, {""year"": 2026, ""month"": 2, ""search_volume"": 90500}, {""year"": 2026, ""month"": 1, ""search_volume"": 110000}, {""year"": 2025, ""month"": 12, ""search_volume"": 165000}, {""year"": 2025, ""month"": 11, ""search_volume"": 165000}, {""year"": 2025, ""month"": 10, ""search_volume"": 110000}, {""year"": 2025, ""month"": 9, ""search_volume"": 90500}, {""year"": 2025, ""month"": 8, ""search_volume"": 110000}]"
A2,appareil photo jetable,33100,0.54,USD_DOCUMENTED,incompatible,False,,,,,"autre technologie, occasion ou service",keywords_data/google_ads/search_volume/live,2026-09-03T14:41:31.031518+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-0.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 40500}, {""year"": 2026, ""month"": 6, ""search_volume"": 40500}, {""year"": 2026, ""month"": 5, ""search_volume"": 49500}, {""year"": 2026, ""month"": 4, ""search_volume"": 33100}, {""year"": 2026, ""month"": 3, ""search_volume"": 33100}, {""year"": 2026, ""month"": 2, ""search_volume"": 27100}, {""year"": 2026, ""month"": 1, ""search_volume"": 27100}, {""year"": 2025, ""month"": 12, ""search_volume"": 27100}, {""year"": 2025, ""month"": 11, ""search_volume"": 22200}, {""year"": 2025, ""month"": 10, ""search_volume"": 22200}, {""year"": 2025, ""month"": 9, ""search_volume"": 27100}, {""year"": 2025, ""month"": 8, ""search_volume"": 33100}]"
A2,appareil photo jetables,33100,0.54,USD_DOCUMENTED,incompatible,False,,,,,"autre technologie, occasion ou service",keywords_data/google_ads/search_volume/live,2026-09-03T14:41:31.031518+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-0.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 40500}, {""year"": 2026, ""month"": 6, ""search_volume"": 40500}, {""year"": 2026, ""month"": 5, ""search_volume"": 49500}, {""year"": 2026, ""month"": 4, ""search_volume"": 33100}, {""year"": 2026, ""month"": 3, ""search_volume"": 33100}, {""year"": 2026, ""month"": 2, ""search_volume"": 27100}, {""year"": 2026, ""month"": 1, ""search_volume"": 27100}, {""year"": 2025, ""month"": 12, ""search_volume"": 27100}, {""year"": 2025, ""month"": 11, ""search_volume"": 22200}, {""year"": 2025, ""month"": 10, ""search_volume"": 22200}, {""year"": 2025, ""month"": 9, ""search_volume"": 27100}, {""year"": 2025, ""month"": 8, ""search_volume"": 33100}]"
A2,appareil photo instantané,33100,0.45,USD_DOCUMENTED,incompatible,False,,,,,"autre technologie, occasion ou service",keywords_data/google_ads/search_volume/live,2026-09-03T14:41:31.031518+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-0.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 27100}, {""year"": 2026, ""month"": 6, ""search_volume"": 27100}, {""year"": 2026, ""month"": 5, ""search_volume"": 27100}, {""year"": 2026, ""month"": 4, ""search_volume"": 22200}, {""year"": 2026, ""month"": 3, ""search_volume"": 27100}, {""year"": 2026, ""month"": 2, ""search_volume"": 22200}, {""year"": 2026, ""month"": 1, ""search_volume"": 27100}, {""year"": 2025, ""month"": 12, ""search_volume"": 74000}, {""year"": 2025, ""month"": 11, ""search_volume"": 60500}, {""year"": 2025, ""month"": 10, ""search_volume"": 22200}, {""year"": 2025, ""month"": 9, ""search_volume"": 18100}, {""year"": 2025, ""month"": 8, ""search_volume"": 18100}]"
A2,appareil numerique photo,27100,0.64,USD_DOCUMENTED,parent,False,,,,,photographie ou compact général,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:31.031518+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-0.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 22200}, {""year"": 2026, ""month"": 6, ""search_volume"": 22200}, {""year"": 2026, ""month"": 5, ""search_volume"": 22200}, {""year"": 2026, ""month"": 4, ""search_volume"": 22200}, {""year"": 2026, ""month"": 3, ""search_volume"": 22200}, {""year"": 2026, ""month"": 2, ""search_volume"": 22200}, {""year"": 2026, ""month"": 1, ""search_volume"": 27100}, {""year"": 2025, ""month"": 12, ""search_volume"": 40500}, {""year"": 2025, ""month"": 11, ""search_volume"": 40500}, {""year"": 2025, ""month"": 10, ""search_volume"": 27100}, {""year"": 2025, ""month"": 9, ""search_volume"": 27100}, {""year"": 2025, ""month"": 8, ""search_volume"": 33100}]"
A2,numérique appareil photo,27100,0.64,USD_DOCUMENTED,parent,False,,,,,photographie ou compact général,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:31.031518+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-0.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 22200}, {""year"": 2026, ""month"": 6, ""search_volume"": 22200}, {""year"": 2026, ""month"": 5, ""search_volume"": 22200}, {""year"": 2026, ""month"": 4, ""search_volume"": 22200}, {""year"": 2026, ""month"": 3, ""search_volume"": 22200}, {""year"": 2026, ""month"": 2, ""search_volume"": 22200}, {""year"": 2026, ""month"": 1, ""search_volume"": 27100}, {""year"": 2025, ""month"": 12, ""search_volume"": 40500}, {""year"": 2025, ""month"": 11, ""search_volume"": 40500}, {""year"": 2025, ""month"": 10, ""search_volume"": 27100}, {""year"": 2025, ""month"": 9, ""search_volume"": 27100}, {""year"": 2025, ""month"": 8, ""search_volume"": 33100}]"
A2,appareil photo numerique,27100,0.64,USD_DOCUMENTED,parent,False,,,,,photographie ou compact général,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:31.031518+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-0.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 22200}, {""year"": 2026, ""month"": 6, ""search_volume"": 22200}, {""year"": 2026, ""month"": 5, ""search_volume"": 22200}, {""year"": 2026, ""month"": 4, ""search_volume"": 22200}, {""year"": 2026, ""month"": 3, ""search_volume"": 22200}, {""year"": 2026, ""month"": 2, ""search_volume"": 22200}, {""year"": 2026, ""month"": 1, ""search_volume"": 27100}, {""year"": 2025, ""month"": 12, ""search_volume"": 40500}, {""year"": 2025, ""month"": 11, ""search_volume"": 40500}, {""year"": 2025, ""month"": 10, ""search_volume"": 27100}, {""year"": 2025, ""month"": 9, ""search_volume"": 27100}, {""year"": 2025, ""month"": 8, ""search_volume"": 33100}]"
A2,appareil photo numérique,27100,0.64,USD_DOCUMENTED,parent,False,,,,,photographie ou compact général,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:31.031518+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-0.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 22200}, {""year"": 2026, ""month"": 6, ""search_volume"": 22200}, {""year"": 2026, ""month"": 5, ""search_volume"": 22200}, {""year"": 2026, ""month"": 4, ""search_volume"": 22200}, {""year"": 2026, ""month"": 3, ""search_volume"": 22200}, {""year"": 2026, ""month"": 2, ""search_volume"": 22200}, {""year"": 2026, ""month"": 1, ""search_volume"": 27100}, {""year"": 2025, ""month"": 12, ""search_volume"": 40500}, {""year"": 2025, ""month"": 11, ""search_volume"": 40500}, {""year"": 2025, ""month"": 10, ""search_volume"": 27100}, {""year"": 2025, ""month"": 9, ""search_volume"": 27100}, {""year"": 2025, ""month"": 8, ""search_volume"": 33100}]"
A2,appareil numérique photo,27100,0.64,USD_DOCUMENTED,parent,False,,,,,photographie ou compact général,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:31.031518+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-0.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 22200}, {""year"": 2026, ""month"": 6, ""search_volume"": 22200}, {""year"": 2026, ""month"": 5, ""search_volume"": 22200}, {""year"": 2026, ""month"": 4, ""search_volume"": 22200}, {""year"": 2026, ""month"": 3, ""search_volume"": 22200}, {""year"": 2026, ""month"": 2, ""search_volume"": 22200}, {""year"": 2026, ""month"": 1, ""search_volume"": 27100}, {""year"": 2025, ""month"": 12, ""search_volume"": 40500}, {""year"": 2025, ""month"": 11, ""search_volume"": 40500}, {""year"": 2025, ""month"": 10, ""search_volume"": 27100}, {""year"": 2025, ""month"": 9, ""search_volume"": 27100}, {""year"": 2025, ""month"": 8, ""search_volume"": 33100}]"
