status,selling_price_ttc,cpc_eur,cvr,expected_cpa_scenario,post_ads_contribution_target,max_product_packaging_shipping_cost
HYPOTHESE,69,0.8,0.01,80.0,0,-27.63
HYPOTHESE,69,0.8,0.01,80.0,10,-37.63
HYPOTHESE,69,0.8,0.015,53.3333,0,-0.9633
HYPOTHESE,69,0.8,0.015,53.3333,10,-10.9633
HYPOTHESE,69,0.8,0.02,40.0,0,12.37
HYPOTHESE,69,0.8,0.02,40.0,10,2.37
HYPOTHESE,69,0.8,0.03,26.6667,0,25.7033
HYPOTHESE,69,0.8,0.03,26.6667,10,15.7033
HYPOTHESE,69,1.2,0.01,120.0,0,-67.63
HYPOTHESE,69,1.2,0.01,120.0,10,-77.63
HYPOTHESE,69,1.2,0.015,80.0,0,-27.63
HYPOTHESE,69,1.2,0.015,80.0,10,-37.63
HYPOTHESE,69,1.2,0.02,60.0,0,-7.63
HYPOTHESE,69,1.2,0.02,60.0,10,-17.63
HYPOTHESE,69,1.2,0.03,40.0,0,12.37
HYPOTHESE,69,1.2,0.03,40.0,10,2.37
HYPOTHESE,99,0.8,0.01,80.0,0,-4.73
HYPOTHESE,99,0.8,0.01,80.0,10,-14.73
HYPOTHESE,99,0.8,0.015,53.3333,0,21.9367
HYPOTHESE,99,0.8,0.015,53.3333,10,11.9367
HYPOTHESE,99,0.8,0.02,40.0,0,35.27
HYPOTHESE,99,0.8,0.02,40.0,10,25.27
HYPOTHESE,99,0.8,0.03,26.6667,0,48.6033
HYPOTHESE,99,0.8,0.03,26.6667,10,38.6033
HYPOTHESE,99,1.2,0.01,120.0,0,-44.73
HYPOTHESE,99,1.2,0.01,120.0,10,-54.73
HYPOTHESE,99,1.2,0.015,80.0,0,-4.73
HYPOTHESE,99,1.2,0.015,80.0,10,-14.73
HYPOTHESE,99,1.2,0.02,60.0,0,15.27
HYPOTHESE,99,1.2,0.02,60.0,10,5.27
HYPOTHESE,99,1.2,0.03,40.0,0,35.27
HYPOTHESE,99,1.2,0.03,40.0,10,25.27
HYPOTHESE,119,0.8,0.01,80.0,0,10.5367
HYPOTHESE,119,0.8,0.01,80.0,10,0.5367
HYPOTHESE,119,0.8,0.015,53.3333,0,37.2033
HYPOTHESE,119,0.8,0.015,53.3333,10,27.2033
HYPOTHESE,119,0.8,0.02,40.0,0,50.5367
HYPOTHESE,119,0.8,0.02,40.0,10,40.5367
HYPOTHESE,119,0.8,0.03,26.6667,0,63.87
HYPOTHESE,119,0.8,0.03,26.6667,10,53.87
HYPOTHESE,119,1.2,0.01,120.0,0,-29.4633
HYPOTHESE,119,1.2,0.01,120.0,10,-39.4633
HYPOTHESE,119,1.2,0.015,80.0,0,10.5367
HYPOTHESE,119,1.2,0.015,80.0,10,0.5367
HYPOTHESE,119,1.2,0.02,60.0,0,30.5367
HYPOTHESE,119,1.2,0.02,60.0,10,20.5367
HYPOTHESE,119,1.2,0.03,40.0,0,50.5367
HYPOTHESE,119,1.2,0.03,40.0,10,40.5367
