candidate,capture,keyword_exact,semrush_screenshot_2026_09_04,dfs_archived_2026_09_03,dfs_scope,dfs_source,same_period_and_country_verified
B1,B1,étendoir à linge mural,2900,3600,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1,étendoir à linge murale,1900,,,,False
B1,B1,étendoir à linge mural rétractable,880,880,conditional,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1,étendoir mural rabattable,590,720,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1,étendoir mural,480,720,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1,étendoir à linge mural extérieur,480,720,incompatible,2026-09-03-qualification-9-produits-pur/raw/10-B1-labs-0.json.gz,False
B1,B1,étendoir à linge extérieur mural,390,720,incompatible,2026-09-03-qualification-9-produits-pur/raw/10-B1-labs-0.json.gz,False
B1,B1,étendoir linge mural,320,3600,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1,étendoir mural rabattable ikea,260,320,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1,étendoir à linge extérieur mural rétractable,260,320,incompatible,2026-09-03-qualification-9-produits-pur/raw/10-B1-labs-0.json.gz,False
B1,B1,étendoir à linge mural ikea,260,320,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
A6,A6,kit rasage homme,1000,1000,conditional,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
A6,A6,kit de rasage pour homme,590,880,conditional,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
A6,A6,kit de rasage,480,390,conditional,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
A6,A6,kit de rasage homme,480,880,conditional,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
A6,A6,kit rasage,480,390,conditional,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
A6,A6,kit rasage pour homme,390,1000,conditional,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
A6,A6,kits de rasage manuel homme,140,,,,False
A6,A6,kit rasage barbe,110,70,conditional,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
A6,A6,kit rasage barbe homme,110,140,conditional,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
A6,A6,kit de rasage barbe,90,30,conditional,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
A6,A6,meilleur kit de rasage pour homme,90,90,conditional,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1_sans_accents,etendoir mural,4400,5400,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1_sans_accents,etendoir linge mural,1900,3600,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1_sans_accents,etendoir a linge mural,1300,1300,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1_sans_accents,etendoir mural pliable,1300,1600,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1_sans_accents,etendoir pliable mural,1000,1600,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1_sans_accents,etendoir a linge murale,880,,,,False
B1,B1_sans_accents,etendoir mural exterieur,880,880,incompatible,2026-09-03-test-decouverte-search-12/05-live-volume-controls.json.gz,False
B1,B1_sans_accents,etendoir pliant mural,880,1600,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1_sans_accents,etendoir mural pliant,720,1600,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1_sans_accents,etendoir mural rabattable,590,720,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
B1,B1_sans_accents,etendoir mural linge,480,3600,core,2026-09-03-qualification-9-produits-pur/raw/20-controls-1.json.gz,False
