'surmatelas'	33100	1.28	[27100, 22200, 27100, 27100, 27100, 27100, 40500, 33100, 40500, 33100, 33100, 40500]
'sur-matelas'	14800	1.11	[12100, 9900, 12100, 12100, 14800, 14800, 18100, 14800, 18100, 18100, 18100, 18100]
'sur matelas'	14800	1.11	[12100, 9900, 12100, 12100, 14800, 14800, 18100, 14800, 18100, 18100, 18100, 18100]
'surmatelas à mémoire de forme'	3600	1.83	[2900, 2400, 3600, 2900, 4400, 4400, 4400, 2900, 4400, 3600, 4400, 4400]
'surmatelas memoire de forme'	3600	1.83	[2900, 2400, 3600, 2900, 4400, 4400, 4400, 2900, 4400, 3600, 4400, 4400]
'surmatelas mémoire de forme'	3600	1.83	[2900, 2400, 3600, 2900, 4400, 4400, 4400, 2900, 4400, 3600, 4400, 4400]
'memoire de forme surmatelas'	3600	1.83	[2900, 2400, 3600, 2900, 4400, 4400, 4400, 2900, 4400, 3600, 4400, 4400]
'sur-matelas à mémoire de forme'	1900	1.16	[1300, 1300, 1600, 1600, 1900, 1900, 2400, 1600, 2400, 1900, 2400, 2400]
'surmatelas 140x190'	22200	0.86	[22200, 18100, 22200, 18100, 18100, 18100, 27100, 22200, 27100, 22200, 22200, 27100]
'surmatelas 160x200'	14800	1.3	[14800, 9900, 12100, 12100, 14800, 14800, 22200, 14800, 22200, 14800, 14800, 18100]
'surmatelas 180x200'	4400	1.57	[3600, 2900, 4400, 3600, 4400, 4400, 5400, 4400, 5400, 4400, 4400, 5400]
'surmatelas 90x190'	3600	0.71	[3600, 2900, 3600, 2900, 3600, 3600, 4400, 2900, 4400, 3600, 4400, 4400]
'surmatelas 140x200'	1900	1.19	[1600, 1300, 1900, 1600, 2400, 2400, 2900, 1900, 2400, 1900, 1900, 2400]
'surmatelas 120x190'	1900	0.88	[2400, 1900, 2400, 1900, 1900, 1900, 1900, 1600, 1900, 1900, 2400, 2900]
'surmatelas 90x200'	880	0.9	[720, 480, 720, 590, 1000, 1300, 1000, 720, 880, 720, 1000, 1000]
'surmatelas 80x200'	1000	1.24	[720, 590, 880, 880, 1000, 1300, 1300, 880, 1000, 1000, 1000, 1000]
'surconfort de matelas 160x200'	14800	1.3	[14800, 9900, 12100, 12100, 14800, 14800, 22200, 14800, 22200, 14800, 14800, 18100]
'surconfort'	10	0.83	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
'topper'	4400	0.4	[3600, 4400, 4400, 4400, 4400, 4400, 5400, 4400, 4400, 4400, 4400, 4400]
'topper matelas'	260	1.38	[260, 210, 210, 210, 210, 260, 320, 210, 320, 260, 260, 260]
'matelas'	90500	4.84	[90500, 74000, 74000, 74000, 74000, 74000, 110000, 90500, 110000, 90500, 90500, 90500]
'matelas mémoire de forme'	8100	3.34	[5400, 5400, 6600, 6600, 8100, 8100, 9900, 6600, 9900, 8100, 8100, 9900]
'surmatelas lit parapluie'	9900	0.28	[12100, 9900, 9900, 8100, 8100, 8100, 8100, 8100, 8100, 8100, 9900, 12100]
'ikea surmatelas'	8100	0.65	[6600, 5400, 6600, 6600, 6600, 6600, 8100, 8100, 9900, 8100, 8100, 9900]
'ikéa surmatelas'	8100	0.65	[6600, 5400, 6600, 6600, 6600, 6600, 8100, 8100, 9900, 8100, 8100, 9900]
'surmatelas decathlon'	5400	0.08	[12100, 8100, 6600, 4400, 2900, 2400, 2400, 3600, 2400, 2900, 3600, 9900]
'surmatelas rafraîchissant'	4400	0.47	[14800, 27100, 6600, 1000, 1000, 880, 590, 320, 390, 320, 720, 2900]
'surmatelas rafraichissant'	4400	0.47	[14800, 27100, 6600, 1000, 1000, 880, 590, 320, 390, 320, 720, 2900]
'surmatelas chauffante'	3600	0.31	[320, 320, 880, 1000, 2400, 2900, 8100, 8100, 9900, 6600, 3600, 880]
'surmatelas chauffant'	3600	0.31	[320, 320, 880, 1000, 2400, 2900, 8100, 8100, 9900, 6600, 3600, 880]
'emma surmatelas'	1600	0.54	[1300, 1000, 1000, 1000, 1000, 1300, 1900, 1300, 2400, 1300, 1600, 1900]
'sofitel surmatelas'	2400	1.47	[1900, 1900, 1900, 1600, 1900, 1900, 3600, 2900, 3600, 2400, 2900, 2900]
'surmatelas tempur'	480	1.16	[390, 260, 320, 320, 320, 390, 720, 390, 590, 590, 480, 590]
'bultex surmatelas'	1300	2.2	[1300, 880, 1300, 1000, 1300, 1600, 1900, 1000, 1600, 1300, 1300, 1600]
'but surmatelas'	1900	0.21	[1900, 1300, 1600, 1300, 1600, 1600, 2400, 1900, 2400, 1900, 1900, 2400]
'conforama surmatelas'	1600	0.53	[1300, 1000, 1000, 1300, 1300, 1300, 1900, 1600, 1900, 1600, 1600, 1900]
'dodo surmatelas'	1300	0.94	[1000, 720, 1000, 880, 1300, 1300, 1900, 1300, 1600, 1300, 1600, 1300]
'surmatelas canapé'	1300	0.44	[880, 880, 1000, 1000, 1600, 1600, 1600, 1300, 1900, 1300, 1300, 1300]
'housse sur-matelas'	4400	0.67	[4400, 3600, 3600, 3600, 3600, 3600, 4400, 3600, 4400, 3600, 4400, 5400]
'surmatelas ferme'	1600	2.4	[880, 880, 1600, 1300, 1600, 1900, 1600, 1300, 1600, 1600, 1900, 1900]
'surmatelas à quoi ça sert'	70	0.56	[40, 50, 50, 50, 50, 50, 90, 40, 40, 70, 90, 110]
'meilleurs surmatelas'	1000	2.35	[880, 590, 1000, 880, 1000, 1000, 1600, 1000, 1600, 1300, 1300, 1600]
'mello surmatelas'	590	1.63	[590, 480, 590, 480, 590, 590, 880, 590, 720, 480, 590, 590]
'surmatelas viscoelastique'	40	0.62	[40, 40, 40, 30, 20, 50, 50, 20, 70, 40, 40, 40]
