'matelas'	90500	4.84	[90500, 74000, 74000, 74000, 74000, 74000, 110000, 90500, 110000, 90500, 90500, 90500]
'sur-matelas'	14800	1.11	[12100, 9900, 12100, 12100, 14800, 14800, 18100, 14800, 18100, 18100, 18100, 18100]
'sur matelas'	14800	1.11	[12100, 9900, 12100, 12100, 14800, 14800, 18100, 14800, 18100, 18100, 18100, 18100]
'surmatelas'	33100	1.28	[27100, 22200, 27100, 27100, 27100, 27100, 40500, 33100, 40500, 33100, 33100, 40500]
'protège-matelas'	14800	1.14	[18100, 12100, 14800, 12100, 14800, 14800, 18100, 12100, 14800, 14800, 22200, 18100]
'protege matelas'	14800	1.14	[18100, 12100, 14800, 12100, 14800, 14800, 18100, 12100, 14800, 14800, 22200, 18100]
'matelas gonflable'	49500	0.52	[90500, 90500, 40500, 33100, 27100, 27100, 27100, 40500, 33100, 40500, 40500, 74000]
'matelas gonflables'	49500	0.52	[90500, 90500, 40500, 33100, 27100, 27100, 27100, 40500, 33100, 40500, 40500, 74000]
'matelas 140x190'	74000	1.77	[90500, 74000, 74000, 74000, 74000, 74000, 110000, 74000, 110000, 74000, 74000, 90500]
'matelas 160x200'	60500	3.41	[49500, 49500, 49500, 49500, 49500, 49500, 90500, 49500, 74000, 49500, 49500, 60500]
'90x190 matelas'	40500	1.01	[40500, 33100, 33100, 33100, 40500, 40500, 49500, 40500, 49500, 40500, 40500, 49500]
'140x200 matelas'	18100	1.83	[18100, 14800, 14800, 14800, 18100, 18100, 22200, 18100, 22200, 18100, 18100, 18100]
'180x200 matelas'	18100	3.99	[14800, 14800, 14800, 14800, 18100, 18100, 27100, 18100, 22200, 18100, 18100, 18100]
'90x200 matelas'	14800	1.4	[14800, 12100, 12100, 12100, 14800, 14800, 22200, 14800, 18100, 14800, 14800, 18100]
'emma matelas'	201000	1.61	[246000, 165000, 165000, 165000, 165000, 201000, 368000, 201000, 368000, 201000, 201000, 201000]
'matelas ikea'	14800	1.84	[14800, 12100, 12100, 12100, 14800, 14800, 18100, 14800, 18100, 14800, 18100, 22200]
'matelas à langer'	12100	0.41	[14800, 12100, 12100, 9900, 9900, 12100, 14800, 12100, 14800, 14800, 14800, 14800]
'alèse matelas'	6600	1.15	[8100, 6600, 6600, 6600, 6600, 6600, 8100, 6600, 6600, 6600, 8100, 9900]
