mot_cle,volume_mensuel_DE,cpc_USD,enchere_basse_USD,enchere_haute_USD,selection
schachbrett,27100,0.44,0.24,1.19,Generique_separe
schachspiel holz,2400,0.82,0.28,1.22,Bois
schachset kaufen,1300,0.6,0.09,0.99,Achat
schachbrett klappbar,170,0.63,0.08,0.83,Pliant
schachbrett kaufen,1000,0.91,0.33,1.17,Achat
schachbrett holz,2400,0.89,0.41,1.29,Bois
schachset,390,0.92,0.38,1.12,Ensemble
schachbrett holz hochwertig,390,0.95,0.37,1.34,non_selectionne_ou_variante_proche
schach holz,590,0.95,0.36,1.27,Bois
holz schachbrett,2400,0.89,0.41,1.29,non_selectionne_ou_variante_proche
schachbrett marmor,1000,0.3,0.12,0.75,non_selectionne_ou_variante_proche
schachbrett glas,480,0.29,0.05,0.35,non_selectionne_ou_variante_proche
dgt schachbrett,260,0.58,0.2,1.06,non_selectionne_ou_variante_proche
schachbrett mit figuren,480,0.53,0.15,1.03,Ensemble
schachspiel hochwertig,260,1.05,0.46,1.45,non_selectionne_ou_variante_proche
marmor schachbrett,1000,0.3,0.12,0.75,non_selectionne_ou_variante_proche
turnierschachbrett,90,0.99,0.48,1.37,non_selectionne_ou_variante_proche
turnier schachbrett,210,0.94,0.34,1.26,non_selectionne_ou_variante_proche
schachspiel holz hochwertig,210,0.96,0.24,1.28,non_selectionne_ou_variante_proche
holz schachspiel,2400,0.82,0.28,1.22,non_selectionne_ou_variante_proche
schachbrett aus holz,2400,0.89,0.41,1.29,non_selectionne_ou_variante_proche
glas schachbrett,260,0.19,0.05,0.38,non_selectionne_ou_variante_proche
hochwertiges schachbrett,390,1.32,0.46,1.48,non_selectionne_ou_variante_proche
edles schachbrett,110,1.04,0.44,1.25,non_selectionne_ou_variante_proche
schachspiel aus holz,2400,0.82,0.28,1.22,non_selectionne_ou_variante_proche
elektronisches schachbrett,390,0.27,0.06,0.31,non_selectionne_ou_variante_proche
schachspiel kaufen holz,90,0.85,0.27,1.48,Achat
schachspiel glas,480,0.26,0.04,0.82,non_selectionne_ou_variante_proche
schönes schachbrett,210,0.58,0.27,0.98,non_selectionne_ou_variante_proche
schachbrett modern,140,0.3,0.24,0.99,non_selectionne_ou_variante_proche
schach aus holz,590,0.95,0.36,1.27,non_selectionne_ou_variante_proche
schachspiel holz handgeschnitzt,110,0.67,0.22,0.85,non_selectionne_ou_variante_proche
schachbrett holz klappbar,140,0.75,0.26,0.9,Pliant
