groupe,mot_cle,copier_dans_google_ads,correspondance,volume_mensuel_DE,cpc_USD,priorite
Bois,schachspiel holz,[schachspiel holz],Exact,2400,0.82,lancement
Bois,schachbrett holz,[schachbrett holz],Exact,2400,0.89,lancement
Bois,schach holz,[schach holz],Exact,590,0.95,lancement
Achat,schachspiel kaufen,[schachspiel kaufen],Exact,1900,0.59,lancement
Achat,schachset kaufen,[schachset kaufen],Exact,1300,0.6,lancement
Achat,schachbrett kaufen,[schachbrett kaufen],Exact,1000,0.91,lancement
Achat,schachspiel kaufen holz,[schachspiel kaufen holz],Exact,90,0.85,lancement
Achat,schachbrett kaufen holz,[schachbrett kaufen holz],Exact,70,1.17,lancement
Achat,schachbrett mit figuren kaufen,[schachbrett mit figuren kaufen],Exact,20,0.55,lancement
Achat,schachbrett online kaufen,[schachbrett online kaufen],Exact,20,1.17,lancement
Ensemble,schachspiel mit figuren,[schachspiel mit figuren],Exact,140,0.34,lancement
Ensemble,schachbrett mit figuren,[schachbrett mit figuren],Exact,480,0.53,lancement
Ensemble,schachset,[schachset],Exact,390,0.92,lancement
Ensemble,schachbrett mit figuren holz,[schachbrett mit figuren holz],Exact,70,0.97,lancement
Ensemble,schachbrett und figuren,[schachbrett und figuren],Exact,40,1.41,lancement
Pliant,schachkassette,[schachkassette],Exact,170,0.57,lancement
Pliant,schachkassette holz,[schachkassette holz],Exact,70,0.83,lancement
Pliant,schachbrett klappbar,[schachbrett klappbar],Exact,170,0.63,lancement
Pliant,schachbrett holz klappbar,[schachbrett holz klappbar],Exact,140,0.75,lancement
Pliant,schachspiel holz klappbar,[schachspiel holz klappbar],Exact,110,0.87,lancement
Pliant,schachspiel klappbar,[schachspiel klappbar],Exact,40,0.93,lancement
Pliant,faltbares schachbrett,[faltbares schachbrett],Exact,20,0.83,lancement
Generique_separe,schachbrett,[schachbrett],Exact,27100,0.44,test_separe
