terme,date,indice,source
chapka homme,2021-01-01,31,trends-q4-chapka-homme.json
chapka homme,2021-02-01,20,trends-q4-chapka-homme.json
chapka homme,2021-03-01,5,trends-q4-chapka-homme.json
chapka homme,2021-04-01,6,trends-q4-chapka-homme.json
chapka homme,2021-05-01,4,trends-q4-chapka-homme.json
chapka homme,2021-06-01,6,trends-q4-chapka-homme.json
chapka homme,2021-07-01,,trends-q4-chapka-homme.json
chapka homme,2021-08-01,,trends-q4-chapka-homme.json
chapka homme,2021-09-01,,trends-q4-chapka-homme.json
chapka homme,2021-10-01,8,trends-q4-chapka-homme.json
chapka homme,2021-11-01,41,trends-q4-chapka-homme.json
chapka homme,2021-12-01,65,trends-q4-chapka-homme.json
chapka homme,2022-01-01,23,trends-q4-chapka-homme.json
chapka homme,2022-02-01,12,trends-q4-chapka-homme.json
chapka homme,2022-03-01,8,trends-q4-chapka-homme.json
chapka homme,2022-04-01,6,trends-q4-chapka-homme.json
chapka homme,2022-05-01,,trends-q4-chapka-homme.json
chapka homme,2022-06-01,,trends-q4-chapka-homme.json
chapka homme,2022-07-01,,trends-q4-chapka-homme.json
chapka homme,2022-08-01,,trends-q4-chapka-homme.json
chapka homme,2022-09-01,8,trends-q4-chapka-homme.json
chapka homme,2022-10-01,8,trends-q4-chapka-homme.json
chapka homme,2022-11-01,25,trends-q4-chapka-homme.json
chapka homme,2022-12-01,100,trends-q4-chapka-homme.json
chapka homme,2023-01-01,28,trends-q4-chapka-homme.json
chapka homme,2023-02-01,17,trends-q4-chapka-homme.json
chapka homme,2023-03-01,10,trends-q4-chapka-homme.json
chapka homme,2023-04-01,,trends-q4-chapka-homme.json
chapka homme,2023-05-01,3,trends-q4-chapka-homme.json
chapka homme,2023-06-01,,trends-q4-chapka-homme.json
chapka homme,2023-07-01,,trends-q4-chapka-homme.json
chapka homme,2023-08-01,,trends-q4-chapka-homme.json
chapka homme,2023-09-01,6,trends-q4-chapka-homme.json
chapka homme,2023-10-01,15,trends-q4-chapka-homme.json
chapka homme,2023-11-01,43,trends-q4-chapka-homme.json
chapka homme,2023-12-01,69,trends-q4-chapka-homme.json
chapka homme,2024-01-01,41,trends-q4-chapka-homme.json
chapka homme,2024-02-01,12,trends-q4-chapka-homme.json
chapka homme,2024-03-01,7,trends-q4-chapka-homme.json
chapka homme,2024-04-01,7,trends-q4-chapka-homme.json
chapka homme,2024-05-01,4,trends-q4-chapka-homme.json
chapka homme,2024-06-01,,trends-q4-chapka-homme.json
chapka homme,2024-07-01,,trends-q4-chapka-homme.json
chapka homme,2024-08-01,7,trends-q4-chapka-homme.json
chapka homme,2024-09-01,14,trends-q4-chapka-homme.json
chapka homme,2024-10-01,14,trends-q4-chapka-homme.json
chapka homme,2024-11-01,52,trends-q4-chapka-homme.json
chapka homme,2024-12-01,81,trends-q4-chapka-homme.json
chapka homme,2025-01-01,45,trends-q4-chapka-homme.json
chapka homme,2025-02-01,31,trends-q4-chapka-homme.json
chapka homme,2025-03-01,12,trends-q4-chapka-homme.json
chapka homme,2025-04-01,,trends-q4-chapka-homme.json
chapka homme,2025-05-01,,trends-q4-chapka-homme.json
chapka homme,2025-06-01,,trends-q4-chapka-homme.json
chapka homme,2025-07-01,6,trends-q4-chapka-homme.json
chapka homme,2025-08-01,6,trends-q4-chapka-homme.json
chapka homme,2025-09-01,10,trends-q4-chapka-homme.json
chapka homme,2025-10-01,17,trends-q4-chapka-homme.json
chapka homme,2025-11-01,51,trends-q4-chapka-homme.json
chapka homme,2025-12-01,69,trends-q4-chapka-homme.json
chapka homme,2026-01-01,42,trends-q4-chapka-homme.json
chapka homme,2026-02-01,11,trends-q4-chapka-homme.json
chapka homme,2026-03-01,7,trends-q4-chapka-homme.json
chapka homme,2026-04-01,5,trends-q4-chapka-homme.json
chapka homme,2026-05-01,,trends-q4-chapka-homme.json
chapka homme,2026-06-01,,trends-q4-chapka-homme.json
chapka homme,2026-07-01,,trends-q4-chapka-homme.json
chapka homme,2026-08-01,2,trends-q4-chapka-homme.json
sac de voyage cuir,2021-01-01,36,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2021-02-01,37,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2021-03-01,29,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2021-04-01,29,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2021-05-01,32,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2021-06-01,25,trends-q4-sac-voyage-cuir.json
