terme,date,indice,source
crokinole,2021-01-01,48,trends-q4-crokinole.json
crokinole,2021-02-01,42,trends-q4-crokinole.json
crokinole,2021-03-01,30,trends-q4-crokinole.json
crokinole,2021-04-01,41,trends-q4-crokinole.json
crokinole,2021-05-01,42,trends-q4-crokinole.json
crokinole,2021-06-01,,trends-q4-crokinole.json
crokinole,2021-07-01,,trends-q4-crokinole.json
crokinole,2021-08-01,,trends-q4-crokinole.json
crokinole,2021-09-01,,trends-q4-crokinole.json
crokinole,2021-10-01,,trends-q4-crokinole.json
crokinole,2021-11-01,,trends-q4-crokinole.json
crokinole,2021-12-01,,trends-q4-crokinole.json
crokinole,2022-01-01,,trends-q4-crokinole.json
crokinole,2022-02-01,,trends-q4-crokinole.json
crokinole,2022-03-01,65,trends-q4-crokinole.json
crokinole,2022-04-01,57,trends-q4-crokinole.json
crokinole,2022-05-01,,trends-q4-crokinole.json
crokinole,2022-06-01,,trends-q4-crokinole.json
crokinole,2022-07-01,,trends-q4-crokinole.json
crokinole,2022-08-01,63,trends-q4-crokinole.json
crokinole,2022-09-01,,trends-q4-crokinole.json
crokinole,2022-10-01,44,trends-q4-crokinole.json
crokinole,2022-11-01,100,trends-q4-crokinole.json
crokinole,2022-12-01,69,trends-q4-crokinole.json
crokinole,2023-01-01,69,trends-q4-crokinole.json
crokinole,2023-02-01,42,trends-q4-crokinole.json
crokinole,2023-03-01,52,trends-q4-crokinole.json
crokinole,2023-04-01,56,trends-q4-crokinole.json
crokinole,2023-05-01,38,trends-q4-crokinole.json
crokinole,2023-06-01,,trends-q4-crokinole.json
crokinole,2023-07-01,58,trends-q4-crokinole.json
crokinole,2023-08-01,53,trends-q4-crokinole.json
crokinole,2023-09-01,,trends-q4-crokinole.json
crokinole,2023-10-01,,trends-q4-crokinole.json
crokinole,2023-11-01,51,trends-q4-crokinole.json
crokinole,2023-12-01,78,trends-q4-crokinole.json
crokinole,2024-01-01,,trends-q4-crokinole.json
crokinole,2024-02-01,46,trends-q4-crokinole.json
crokinole,2024-03-01,40,trends-q4-crokinole.json
crokinole,2024-04-01,,trends-q4-crokinole.json
crokinole,2024-05-01,43,trends-q4-crokinole.json
crokinole,2024-06-01,,trends-q4-crokinole.json
crokinole,2024-07-01,,trends-q4-crokinole.json
crokinole,2024-08-01,40,trends-q4-crokinole.json
crokinole,2024-09-01,,trends-q4-crokinole.json
crokinole,2024-10-01,,trends-q4-crokinole.json
crokinole,2024-11-01,41,trends-q4-crokinole.json
crokinole,2024-12-01,71,trends-q4-crokinole.json
crokinole,2025-01-01,70,trends-q4-crokinole.json
crokinole,2025-02-01,,trends-q4-crokinole.json
crokinole,2025-03-01,,trends-q4-crokinole.json
crokinole,2025-04-01,53,trends-q4-crokinole.json
