terme,annee,jan_sep_n,q4_n,ratio_q4_vs_jan_sep,calcul_complet
acheter mahjong,2021,0,1,,False
acheter mahjong,2022,1,0,,False
acheter mahjong,2023,0,0,,False
acheter mahjong,2024,0,1,,False
acheter mahjong,2025,0,1,,False
boîte à musique,2021,9,3,1.539,True
boîte à musique,2022,9,3,1.456,True
boîte à musique,2023,9,3,1.562,True
boîte à musique,2024,9,3,1.561,True
boîte à musique,2025,9,3,1.611,True
carrousel musical,2021,0,2,,False
carrousel musical,2022,1,3,,False
carrousel musical,2023,1,2,,False
carrousel musical,2024,0,1,,False
carrousel musical,2025,0,1,,False
coffret calligraphie,2021,1,1,,False
coffret calligraphie,2022,0,3,,False
coffret calligraphie,2023,0,2,,False
coffret calligraphie,2024,0,1,,False
coffret calligraphie,2025,0,1,,False
crèche de noël,2021,3,3,,False
crèche de noël,2022,7,3,,False
crèche de noël,2023,8,3,,False
crèche de noël,2024,7,3,,False
crèche de noël,2025,9,3,15.088,True
goban,2021,6,0,,False
goban,2022,7,3,,False
goban,2023,4,2,,False
goban,2024,8,3,,False
goban,2025,8,3,,False
jeu de go,2021,9,3,1.22,True
jeu de go,2022,9,3,1.364,True
jeu de go,2023,9,3,1.25,True
jeu de go,2024,9,3,1.329,True
jeu de go,2025,9,3,1.227,True
kalimba,2021,9,3,1.377,True
kalimba,2022,9,3,1.236,True
kalimba,2023,9,3,1.127,True
kalimba,2024,9,3,1.164,True
kalimba,2025,9,3,1.263,True
