fichier,capture_UTC,keyword_exact,volume,CPC_USD,concurrence,pays,langue
exact-complements.json,2026-09-05T18:22:12.581239+00:00,mappemonde,22200,0.13,HIGH,France,French
exact-complements.json,2026-09-05T18:22:12.581239+00:00,globe terrestre,27100,0.17,HIGH,France,French
exact-complements.json,2026-09-05T18:22:12.581239+00:00,globe terrestre lumineux,1300,0.26,HIGH,France,French
exact-complements.json,2026-09-05T18:22:12.581239+00:00,mappemonde murale,720,0.36,HIGH,France,French
exact-complements.json,2026-09-05T18:22:12.581239+00:00,mappemonde bois,480,0.68,HIGH,France,French
exact-complements.json,2026-09-05T18:22:12.581239+00:00,globe mappemonde,1600,0.23,HIGH,France,French
exact-complements.json,2026-09-05T18:22:12.581239+00:00,carte du monde à gratter,2400,0.22,HIGH,France,French
exact-complements.json,2026-09-05T18:22:12.581239+00:00,bracelet amethyste,1600,0.8,HIGH,France,French
exact-complements.json,2026-09-05T18:22:12.581239+00:00,bracelet lapis lazuli,720,0.78,HIGH,France,French
exact-complements.json,2026-09-05T18:22:12.581239+00:00,collier lapis lazuli,720,0.6,HIGH,France,French
exact-complements.json,2026-09-05T18:22:12.581239+00:00,cache clim extérieur,8100,0.53,HIGH,France,French
exact-complements.json,2026-09-05T18:22:12.581239+00:00,coussin de lecture pour le lit,2400,0.42,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,photomètre piscine,1900,0.26,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,PoolLab 2.0,1900,0.52,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,testeur électronique eau piscine,720,0.24,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,analyseur pH chlore piscine,20,0.17,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,moniteur qualité air intérieur PM2.5,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,détecteur TVOC maison,MANQUANT,MANQUANT,,France,French
