keyword,month,index,source
abaya,2021-01,12,uk-20260907-trends-abaya.json
abaya,2021-02,14,uk-20260907-trends-abaya.json
abaya,2021-03,19,uk-20260907-trends-abaya.json
abaya,2021-04,35,uk-20260907-trends-abaya.json
abaya,2021-05,29,uk-20260907-trends-abaya.json
abaya,2021-06,20,uk-20260907-trends-abaya.json
abaya,2021-07,24,uk-20260907-trends-abaya.json
abaya,2021-08,20,uk-20260907-trends-abaya.json
abaya,2021-09,21,uk-20260907-trends-abaya.json
abaya,2021-10,19,uk-20260907-trends-abaya.json
abaya,2021-11,18,uk-20260907-trends-abaya.json
abaya,2021-12,17,uk-20260907-trends-abaya.json
abaya,2022-01,18,uk-20260907-trends-abaya.json
abaya,2022-02,24,uk-20260907-trends-abaya.json
abaya,2022-03,34,uk-20260907-trends-abaya.json
abaya,2022-04,75,uk-20260907-trends-abaya.json
abaya,2022-05,31,uk-20260907-trends-abaya.json
abaya,2022-06,31,uk-20260907-trends-abaya.json
abaya,2022-07,32,uk-20260907-trends-abaya.json
abaya,2022-08,24,uk-20260907-trends-abaya.json
abaya,2022-09,23,uk-20260907-trends-abaya.json
abaya,2022-10,24,uk-20260907-trends-abaya.json
abaya,2022-11,23,uk-20260907-trends-abaya.json
abaya,2022-12,26,uk-20260907-trends-abaya.json
abaya,2023-01,30,uk-20260907-trends-abaya.json
abaya,2023-02,35,uk-20260907-trends-abaya.json
abaya,2023-03,61,uk-20260907-trends-abaya.json
abaya,2023-04,79,uk-20260907-trends-abaya.json
abaya,2023-05,41,uk-20260907-trends-abaya.json
abaya,2023-06,45,uk-20260907-trends-abaya.json
abaya,2023-07,36,uk-20260907-trends-abaya.json
abaya,2023-08,46,uk-20260907-trends-abaya.json
abaya,2023-09,41,uk-20260907-trends-abaya.json
abaya,2023-10,33,uk-20260907-trends-abaya.json
abaya,2023-11,32,uk-20260907-trends-abaya.json
abaya,2023-12,34,uk-20260907-trends-abaya.json
abaya,2024-01,44,uk-20260907-trends-abaya.json
