univers,mot_cle,volume_mensuel_UK,cpc_USD,decision,phase,groupe_regroupement,raison,source,pays,langue,reseaux_partenaires,mesure,date_verification,offre
abaya,abaya,33100,0.66,CIBLABLE,EXPLORATION,abaya_head_broad,tête; intention large; page filtrée ouverte/ornée,uk-20260907-volume-discovery-v1.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,abaya for women,5400,0.78,CIBLABLE,EXPLORATION,abaya_head_broad,large audience; vérifier ouverte et ornée,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,abaya online,480,0.64,CIBLABLE,EXPLORATION,abaya_head_broad,transactionnel mais large; page filtrée,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,embellished abaya,1000,0.42,CIBLABLE,COEUR,abaya_embellished_broidered,finition cœur; ornée,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,embroidered abaya,880,0.53,CIBLABLE,COEUR,abaya_embellished_broidered,finition cœur; brodée,uk-20260907-volume-discovery-v2.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,ladies open abaya,590,0.76,CIBLABLE,COEUR,abaya_open,variante proche; même historique que womens open abaya,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,open abaya,2900,0.68,CIBLABLE,COEUR,abaya_open,type cœur; abaya ouverte,uk-20260907-volume-discovery-v2.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,womens open abaya,590,0.76,CIBLABLE,COEUR,abaya_open,variante audience de open abaya,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
corset,black overbust corset,30,0.4,CIBLABLE,COEUR,overbust,direct SKU-compatible modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-overbust
corset,overbust corset,390,0.47,CIBLABLE,COEUR,overbust,explicit SKU-compatible cut,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-overbust
corset,black satin underbust corset,10,0.49,CIBLABLE,COEUR,underbust,direct SKU-compatible modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-underbust
corset,black underbust corset,210,0.54,CIBLABLE,COEUR,underbust,direct SKU-compatible modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-underbust
corset,under breast corset,1900,0.71,CIBLABLE,COEUR,underbust,close wording variant,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-underbust
corset,underbust corset,1900,0.71,CIBLABLE,COEUR,underbust,explicit SKU-compatible cut,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-underbust
corset,black boned corset,40,0.46,CIBLABLE,COEUR,steel-boned,direct SKU-compatible modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,black corset,8100,0.52,CIBLABLE,EXPLORATION,black-head,black SKU modifier; broad cut intent,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,black satin corset,210,0.59,CIBLABLE,COEUR,satin,direct SKU-compatible modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,black steel boned corset,10,0.76,CIBLABLE,COEUR,steel-boned,direct SKU-compatible modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,boned corset,320,0.77,CIBLABLE,COEUR,steel-boned,structured subtype,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,corset,33100,0.54,CIBLABLE,EXPLORATION,corset-head,head retained; broad mixed intent,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,satin corset,480,0.65,CIBLABLE,COEUR,satin,satin SKU modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,steel boned corset,320,1.15,CIBLABLE,COEUR,steel-boned,explicit structured subtype,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
watch,10 slot watch box,70,1.01,CIBLABLE,COEUR,ten-slot,direct ten-slot capacity,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,coffret-10
watch,10 watch box,90,1.66,CIBLABLE,COEUR,ten-slot,direct ten-slot capacity,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,coffret-10
watch,watch box,8100,1.04,CIBLABLE,EXPLORATION,box-head,head; broad storage intent,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,coffret-10
watch,watch storage box,1300,0.94,CIBLABLE,COEUR,storage-box,direct storage intent,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,coffret-10
watch,wooden watch box,480,1.01,CIBLABLE,COEUR,wooden-box,direct wood modifier,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,coffret-10
watch,wrist watch storage box,1300,0.94,CIBLABLE,COEUR,storage-box,close storage variant,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,coffret-10
watch,auto watch winder,2400,1.01,CIBLABLE,COEUR,auto-winder,close automatic variant,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,automatic watch winder,2400,1.01,CIBLABLE,COEUR,auto-winder,automatic product intent,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,automatic wrist watch winder,2400,1.01,CIBLABLE,COEUR,auto-winder,close automatic variant,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,best double watch winder,20,3.07,CIBLABLE,COEUR,double-winder,commercial modifier; direct two-watch,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,best watch winder,260,2.15,CIBLABLE,EXPLORATION,winder-head,commercial modifier; broad winder intent,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,double automatic watch winder,20,0.62,CIBLABLE,COEUR,double-winder,automatic two-watch SKU intent,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,double watch winder,260,2.04,CIBLABLE,COEUR,double-winder,direct two-watch SKU intent,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,dual watch winder,90,2.27,CIBLABLE,COEUR,double-winder,direct two-watch synonym,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
