univers,mot_cle,volume_mensuel_UK,cpc_USD,decision,phase,groupe_regroupement,raison,source,pays,langue,reseaux_partenaires,mesure,date_verification,offre
abaya,abaya,33100,0.66,CIBLABLE,EXPLORATION,abaya_head_broad,tête; intention large; page filtrée ouverte/ornée,uk-20260907-volume-discovery-v1.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,abaya for women,5400,0.78,CIBLABLE,EXPLORATION,abaya_head_broad,large audience; vérifier ouverte et ornée,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,abaya online,480,0.64,CIBLABLE,EXPLORATION,abaya_head_broad,transactionnel mais large; page filtrée,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,embellished abaya,1000,0.42,CIBLABLE,COEUR,abaya_embellished_broidered,finition cœur; ornée,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,embroidered abaya,880,0.53,CIBLABLE,COEUR,abaya_embellished_broidered,finition cœur; brodée,uk-20260907-volume-discovery-v2.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,ladies open abaya,590,0.76,CIBLABLE,COEUR,abaya_open,variante proche; même historique que womens open abaya,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,open abaya,2900,0.68,CIBLABLE,COEUR,abaya_open,type cœur; abaya ouverte,uk-20260907-volume-discovery-v2.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,womens open abaya,590,0.76,CIBLABLE,COEUR,abaya_open,variante audience de open abaya,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,abaya dress,4400,0.62,CONDITIONNEL,EXPLORATION,abaya_head_broad,Modèle occasion/robe à contrôler avant ciblage ; hors total initial.,uk-20260907-volume-discovery-v1.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,fancy abaya,880,0.38,CONDITIONNEL,OCCASION,abaya_occasion,Modèle occasion/robe à contrôler avant ciblage ; hors total initial.,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,luxury abaya,1000,0.58,CONDITIONNEL,OCCASION,abaya_occasion,Modèle occasion/robe à contrôler avant ciblage ; hors total initial.,uk-20260907-volume-discovery-v1.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,occasion abayas,1000,0.55,CONDITIONNEL,OCCASION,abaya_occasion,Modèle occasion/robe à contrôler avant ciblage ; hors total initial.,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,party wear abaya,390,0.4,CONDITIONNEL,OCCASION,abaya_occasion,Modèle occasion/robe à contrôler avant ciblage ; hors total initial.,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,wedding abaya,1300,0.4,CONDITIONNEL,OCCASION,abaya_occasion,Modèle occasion/robe à contrôler avant ciblage ; hors total initial.,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,closed abaya,720,0.64,EXCLURE,COEUR,abaya_closed,"EXCLURE produit fermé, hors abaya ouverte",uk-20260907-volume-discovery-v2.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,kaftan abaya,590,0.44,EXCLURE,COEUR,abaya_adjacent,EXCLURE vêtement adjacent,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,linen abaya,1600,0.63,EXCLURE,COEUR,abaya_material,EXCLURE matière non prouvée,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
abaya,silk abaya,390,0.56,EXCLURE,COEUR,abaya_material,EXCLURE matière non prouvée,uk-20260907-ideas-abaya.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,abaya-noire
corset,black overbust corset,30,0.4,CIBLABLE,COEUR,overbust,direct SKU-compatible modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-overbust
corset,overbust corset,390,0.47,CIBLABLE,COEUR,overbust,explicit SKU-compatible cut,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-overbust
corset,black satin underbust corset,10,0.49,CIBLABLE,COEUR,underbust,direct SKU-compatible modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-underbust
corset,black underbust corset,210,0.54,CIBLABLE,COEUR,underbust,direct SKU-compatible modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-underbust
corset,under breast corset,1900,0.71,CIBLABLE,COEUR,underbust,close wording variant,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-underbust
corset,underbust corset,1900,0.71,CIBLABLE,COEUR,underbust,explicit SKU-compatible cut,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-underbust
corset,black boned corset,40,0.46,CIBLABLE,COEUR,steel-boned,direct SKU-compatible modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,black corset,8100,0.52,CIBLABLE,EXPLORATION,black-head,black SKU modifier; broad cut intent,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,black satin corset,210,0.59,CIBLABLE,COEUR,satin,direct SKU-compatible modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,black steel boned corset,10,0.76,CIBLABLE,COEUR,steel-boned,direct SKU-compatible modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,boned corset,320,0.77,CIBLABLE,COEUR,steel-boned,structured subtype,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,corset,33100,0.54,CIBLABLE,EXPLORATION,corset-head,head retained; broad mixed intent,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,satin corset,480,0.65,CIBLABLE,COEUR,satin,satin SKU modifier,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,steel boned corset,320,1.15,CIBLABLE,COEUR,steel-boned,explicit structured subtype,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,underboob corset,140,0.77,CONDITIONNEL,COEUR,underboob,archivé: couleur/matière/coupe non prouvée par le SKU final,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corset-underbust
corset,black lace corset,1600,0.54,CONDITIONNEL,COEUR,black-lace,archivé: couleur/matière/coupe non prouvée par le SKU final,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
corset,bridal corset,590,0.51,CONDITIONNEL,COEUR,bridal,archivé: couleur/matière/coupe non prouvée par le SKU final,uk-20260907-cont4-corset-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,corsets-noirs
