family,query,layer,result_type,rank,site_or_seller,title_or_offer,price_gbp,delivery_observed,product_url_or_check_url,evidence_file,observed_utc
montres,wooden watch box,Shopping,google_shopping_serp,1,Amazon.co.uk - Amazon.co.uk-Seller,SONGMICS Watch Box with 6 Slots Rustic Walnut,16.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-wooden-watch-box.json,2026-09-07
montres,wooden watch box,Shopping,google_shopping_serp,2,F.Hinds,Luxury Wooden Watch Or Bangle Box - F.Hinds Wood,19.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-wooden-watch-box.json,2026-09-07
montres,wooden watch box,Shopping,google_shopping_serp,3,MANGO UK,MANGO HOME Wooden jewellery box for watches,35.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-wooden-watch-box.json,2026-09-07
montres,wooden watch box,Shopping,google_shopping_serp,4,Amazon.co.uk - Amazon.co.uk-Seller,SONGMICS Watch Box with 12 Slots 2-Tier Wood Watch Case with Large Glass Lid,27.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-wooden-watch-box.json,2026-09-07
montres,wooden watch box,Shopping,google_shopping_serp,5,Next,Wooden Watch Duo Storage Box,19,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-wooden-watch-box.json,2026-09-07
montres,wooden watch box,Shopping,google_shopping_serp,6,Amazon.co.uk - Amazon.co.uk-Seller,SONGMICS Watch Box with 10 Slots,21.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-wooden-watch-box.json,2026-09-07
montres,wooden watch box,Shopping,google_shopping_serp,7,B&Q,Grids Wooden Watch Box Jewellry Display Storage Organiser Case Gift For Men,11.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-wooden-watch-box.json,2026-09-07
montres,wooden watch box,Shopping,google_shopping_serp,8,F.Hinds,Mele & Co 10 Watch Box,55.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-wooden-watch-box.json,2026-09-07
montres,wooden watch box,Shopping,google_shopping_serp,9,Amazon.co.uk - Amazon.co.uk-Seller,ProCase Elegant 2-Tier Wooden Watch Box Jewelry Display Case with Drawer 8 Slot,19.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-wooden-watch-box.json,2026-09-07
montres,wooden watch box,Shopping,google_shopping_serp,10,SecTime,Classic Wooden Watch Box for 1 Wristwatch with Glass Lid,17.95,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-wooden-watch-box.json,2026-09-07
montres,wooden watch box,Shopping,google_shopping_serp,11,Trendhim.co.uk,Striking Chestnut Wood Watch Box,79.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-wooden-watch-box.json,2026-09-07
montres,wooden watch box,Shopping,google_shopping_serp,12,Next,Harvey Makin Wooden Watch Box Holds 4 Watches,35,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-wooden-watch-box.json,2026-09-07
montres,double watch winder,Shopping,google_shopping_serp,1,Amazon.co.uk,Vlando Double Watch Winder Quiet Motor and Valet Tray,120.85,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-double-watch-winder.json,2026-09-07
montres,double watch winder,Shopping,google_shopping_serp,2,Amazon.co.uk - Amazon.co.uk-Seller,"ANWBROAD Watch Winder for 2 Watches, Double Automatic Watch Winder | Quiet Motor, LED Light, 5 Rotation Modes, Auto-Stop Lid Sensor, Red Wooden Piano",39.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-double-watch-winder.json,2026-09-07
montres,double watch winder,Shopping,google_shopping_serp,3,F.Hinds,Men's Wooden Double Watch Winder,104.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-double-watch-winder.json,2026-09-07
montres,double watch winder,Shopping,google_shopping_serp,4,B&Q,2 Slots Automatic Watch Winder 4 Rotation Modes,57.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-double-watch-winder.json,2026-09-07
montres,double watch winder,Shopping,google_shopping_serp,5,Amazon.co.uk - Amazon.co.uk-Seller,Mcbazel double Automatic Watch Winder Box Automatic Watch Display Storage Rotation Wristwatch Box with 2 Slots,31.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-double-watch-winder.json,2026-09-07
montres,double watch winder,Shopping,google_shopping_serp,6,The Jewel Hut,Wolf Cub Double Watch Winder with Cover,649,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-double-watch-winder.json,2026-09-07
montres,double watch winder,Shopping,google_shopping_serp,7,Amazon.co.uk - Amazon.co.uk-Seller,"Vlocky Double Watch Winder Box with Mute Japanese Motor, Automatic Watch Winder for 2 Watches, Single Rotation Mode, USB Powered",24.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-double-watch-winder.json,2026-09-07
montres,double watch winder,Shopping,google_shopping_serp,8,jqueenwatchwinders.co.uk,Discount Jqueen Wooden Double Watch Winder,199.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-double-watch-winder.json,2026-09-07
montres,double watch winder,Shopping,google_shopping_serp,9,Mozsly,MOZSLY Double Watch Winder,118.37,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-double-watch-winder.json,2026-09-07
montres,double watch winder,Shopping,google_shopping_serp,10,Amazon.co.uk - Amazon.co.uk-Seller,"Kalawen Latest Double Watch Winder Box, Mute Japanese Motor, Dual Automatic Watches Winder Rotation Storage Display Box for Automatic Mechanical",32.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-double-watch-winder.json,2026-09-07
montres,double watch winder,Shopping,google_shopping_serp,11,Watches.co.uk,Rapport London Formula Duo Watch Winder,695,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-double-watch-winder.json,2026-09-07
montres,double watch winder,Shopping,google_shopping_serp,12,Amazon.co.uk - Amazon.co.uk-Seller,Mcbazel LED Double Automatic Watch Winder with Blue Light Quiet Motor Display Storage Rotation Wrist PU Leather Watch Box with 2 Slots-Black,35.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-double-watch-winder.json,2026-09-07
TX850/détecteurs,metal detector for beginners,Shopping,google_shopping_serp,1,Amazon.co.uk - Amazon.co.uk-Seller,Minelab X-Terra Metal,149.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-metal-detector-beginners.json,2026-09-07
TX850/détecteurs,metal detector for beginners,Shopping,google_shopping_serp,2,Argos,Science Mad Digital Metal Detector,25,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-metal-detector-beginners.json,2026-09-07
TX850/détecteurs,metal detector for beginners,Shopping,google_shopping_serp,3,B&Q,Metal Detector Gold Finder Treasure Hunter Underground Adjustable,24.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-metal-detector-beginners.json,2026-09-07
TX850/détecteurs,metal detector for beginners,Shopping,google_shopping_serp,4,The Range,Costway Metal Detector All Metals & Discrimination Mode Waterproof Search Coil 12cm Deep,42.95,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-metal-detector-beginners.json,2026-09-07
TX850/détecteurs,metal detector for beginners,Shopping,google_shopping_serp,5,Amazon.co.uk - Amazon.co.uk-Seller,Metal Detector Minelab Vanquish 340,199,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-metal-detector-beginners.json,2026-09-07
TX850/détecteurs,metal detector for beginners,Shopping,google_shopping_serp,6,Currys,Minelab Go-Find 66 Metal Detector,199,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-metal-detector-beginners.json,2026-09-07
TX850/détecteurs,metal detector for beginners,Shopping,google_shopping_serp,7,Amazon.co.uk - Amazon.co.uk-Seller,Full Sized Metal Detector with Discrimination VU Meter Headphone Jack Adjustable Shaft Waterproof Search Coil for Hobby and Treasure Hunting,19.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-metal-detector-beginners.json,2026-09-07
TX850/détecteurs,metal detector for beginners,Shopping,google_shopping_serp,8,LP Metal Detecting,Minelab X-Terra Intrepid Tactical,84.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-metal-detector-beginners.json,2026-09-07
TX850/détecteurs,metal detector for beginners,Shopping,google_shopping_serp,9,Amazon.co.uk - Amazon.co.uk-Seller,MYLEK MYMD1062 Metal Detector Waterproof Complete with Bag,59.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-metal-detector-beginners.json,2026-09-07
TX850/détecteurs,metal detector for beginners,Shopping,google_shopping_serp,10,Currys,Go-Find Minelab 22 Metal Detector,129,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-metal-detector-beginners.json,2026-09-07
TX850/détecteurs,metal detector for beginners,Shopping,google_shopping_serp,11,B&Q,5 Modes Metal Detector For Adults,123.99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-metal-detector-beginners.json,2026-09-07
TX850/détecteurs,metal detector for beginners,Shopping,google_shopping_serp,12,Amazon.co.uk - Amazon.co.uk-Seller,Minelab Go-Find 11 Metal Detector,99,Voir résultat Shopping brut; non normalisé,,uk-20260907-deep-shopping-metal-detector-beginners.json,2026-09-07
