Extraits SERP fr.aliexpress.com (tri ventes, 09/09/2026) — id | prix EUR | ventes | tags | titre (candidats retenus pour qualification)

## carport aluminium
1005012158685405 | 295.16 | 5 | Personnalisable | Abri de voiture moderne en aluminium pour 2 véhicules, toit plat polycarbonate
1005012105255127 | 224.32 | 6 | Personnalisable | Abri de voiture extérieur en aluminium, toit plat en polycarbonate
1005012203729432 | 519.32 | 5 | Personnalisable | Abri de voiture en aluminium à isolation thermique, toit polycarbonate, incliné
1005010259120280 | 649.39 | 17 | Personnalisable | Abri de voiture robuste en alliage d'aluminium, panneaux polycarbonate, toit arqué (doublon 1005009961706626)
1005012876356500 | 486.99 | 4 | Personnalisable | Abri de voiture en aluminium haute performance
1005012956884121 | 1052.39 | 3 | Personnalisable | Abri de voiture double étage en aluminium sur mesure
1005013119132049 | 642.99 | 0 | Personnalisable | Abri de stationnement double sur mesure, cadre aluminium, toit polycarbonate
1005012340367854 | 1370.39 | 1 | Personnalisable | Abri de voiture en aluminium pour 2 véhicules, double couche
1005012253648862 | 504.39 | 0 | Personnalisable | Abri de voiture double extérieur, aluminium, toit polycarbonate

## carport 2 voitures (complément)
1005012481444705 | 549.99 | 3 | Personnalisable | Abri de voiture en acier galvanisé robuste, extra large pour deux véhicules, camping-car
1005010685975184 | 1354.39 | 0 | 6× sans frais | Garage extérieur Extra Large tous temps pour 2 voitures 20X20 ft
1005012904297579 | 386.13 | 0 | Lève-tôt | Tente de carport extérieure imperméable, structure acier, fenêtres
1005012976805248 | 2645.39 | 0 | Personnalisable | Abri de stationnement simple ou double, auvent anti-pluie

## abri camping car
1005012673956878 | 306.01 | 3 | Lève-tôt | Abri de voiture extérieur imperméable résistant à l'hiver 3x6m, tente de garage structure acier
1005011994406763 | 1047.99 | 1 | Livraison gratuite | Abri de voiture extérieur, tente de garage, auvents incurvés en aluminium
1005012522980731 | 1460.69 | 1 | Personnalisable | Abri de garage préfabriqué en métal 11x19 pieds, toit arqué galvanisé, camping-car

## carport bois → aucun carport bois ; seulement pergolas pin
1005012641251886 | 196.39 | 1 | Lève-tôt | Pergola en bois de sapin massif avec portail 116x40x204 cm
1005012323366703 | 160.70 | 0 | Lève-tôt | Pergola de jardin avec auvent 100x90x200 cm, pin
1005012641281736 | 143.99 | 0 | Lève-tôt | Pergola de jardin en bois 410x40x203 cm
1005012890069532 | 609.39 | 0 | — | Abri de voiture extérieur moderne structure acier galvanisé, toit en bois traité (hybride, non qualifié)
1005012526017744 | 286.42 | 0 | Lève-tôt | Abri de voiture/garage 3 x 6m, 2 portes enroulables, bâche PE 200g, vert

## carport adossé (complément)
1005012514121661 | 244.88 | 11 | Livraison gratuite | Outsunny Abri de Voiture Tente de Garage 3x6m (fiche d'origine, expédiée depuis la France)
1005012514553934 | 238.92 | 8 | Livraison gratuite | Outsunny Abri de Voiture Tente de Garage (variante)
1005013014844719 | 398.03 | 0 | Lève-tôt | Tente-garage 4x6m doubles portes à volet roulant
1005013005819765 | 358.01 | 0 | Lève-tôt | Tente-garage 3x6 m, doubles portes
1005012942086535 | 147.69 | 0 | Lève-tôt | Tente de garage mobile servant de carport, bâche PE
1005012856504875 | 70.69 | 9 | Livraison gratuite | 12 tôles de toiture ondulées galvanisées pour abri de voiture (accessoire)
