mot_cle,volume,volume_dfs,ratio_dfs_sem,kd,kd_dfs,cpc,mode,source
shampouineuse,74000,90500,1.223,34,,"0,29 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
huile essentielle,60500,74000,1.223,44,10,,UNIVERS,mission-b-28/08
cave a vin,60500,74000,1.223,41,21,,UNIVERS,mission-b-28/08
tapis de marche,60500,74000,1.223,44,,"0,53 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
tapis de course,60500,74000,1.223,42,,"0,30 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
planche,40500,18100,0.447,25,0,,UNIVERS,mission-b-28/08
bougie,40500,60500,1.494,26,10,,UNIVERS,mission-b-28/08
rideau,40500,40500,1.0,30,5,,UNIVERS,mission-b-28/08
rideau occultant,33100,49500,1.495,32,2,,UNIVERS,mission-b-28/08
rideau thermique,33100,49500,1.495,29,0,,UNIVERS,mission-b-28/08
humidificateur d'air,33100,33100,1.0,29,,"0,18 $",PRODUIT PUR,mesure-express-pur-lot3-local.json
déshumidificateur,27100,74000,2.731,44,,"0,33 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
couverture lestée,27100,33100,1.221,34,,"0,32 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
kettlebell,27100,40500,1.494,33,,"0,20 $",PRODUIT PUR,mesure-express-pur-lot3-local.json
rideaux,22200,22200,1.0,46,15,,UNIVERS,mission-b-28/08
diffuseur,18100,14800,0.818,24,0,,UNIVERS,mission-b-28/08
rideaux occultants,18100,49500,2.735,31,0,,UNIVERS,mission-b-28/08
tringle rideau,18100,22200,1.227,23,0,,UNIVERS,mission-b-28/08
pressothérapie,18100,22200,1.227,25,,"0,65 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
parc bebe,18100,27100,1.497,24,,"0,13 $",PRODUIT PUR,mesure-express-pur-lot3-local.json
planche a decouper,14800,18100,1.223,17,0,,UNIVERS,mission-b-28/08
diffuseur huile essentielle,14800,18100,1.223,47,3,,UNIVERS,mission-b-28/08
tringle a rideau,14800,22200,1.5,22,0,,UNIVERS,mission-b-28/08
tapis de marche pliable,14800,18100,1.223,33,,"0,23 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
machine sous vide,14800,18100,1.223,25,,"0,28 $",PRODUIT PUR,mesure-express-pur-lot2-local.json
bougie parfumée,12100,12100,1.0,31,17,,UNIVERS,mission-b-28/08
rideaux voilage,12100,27100,2.24,31,0,,UNIVERS,mission-b-28/08
tire bouchon,12100,14800,1.223,24,0,,UNIVERS,mission-b-28/08
verre a vin,12100,18100,1.496,23,0,,UNIVERS,mission-b-28/08
ventilateur colonne,12100,27100,2.24,27,,"0,14 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
shampouineuse canapé,12100,12100,1.0,24,,"0,42 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
glacière électrique,12100,14800,1.223,28,,"0,14 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
tente gonflable,12100,18100,1.496,22,,"0,15 $",PRODUIT PUR,mesure-express-pur-lot2-local.json
tarière,12100,14800,1.223,26,,"0,26 $",PRODUIT PUR,mesure-express-pur-lot3-local.json
planche apero,9900,14800,1.495,17,0,,UNIVERS,mission-b-28/08
rideau occultant thermique,9900,22200,2.242,27,0,,UNIVERS,mission-b-28/08
rideaux thermiques,9900,49500,5.0,31,0,,UNIVERS,mission-b-28/08
tringle rideau sans percer,9900,18100,1.828,25,0,,UNIVERS,mission-b-28/08
limonadier,9900,12100,1.222,23,4,,UNIVERS,mission-b-28/08
déshumidificateur d'air,9900,12100,1.222,38,,"0,36 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
carré potager,9900,14800,1.495,30,,"0,18 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
tarière thermique,9900,12100,1.222,18,,"0,26 $",PRODUIT PUR,mesure-express-pur-lot3-local.json
voilage,8100,8100,1.0,27,5,,UNIVERS,mission-b-28/08
rideaux et voilages,8100,27100,3.346,31,0,,UNIVERS,mission-b-28/08
récupérateur d'eau de pluie,8100,12100,1.494,33,,"0,16 $",PRODUIT PUR,mesure-express-pur-lot2-local.json
parc enfant,8100,,,21,,0 $,PRODUIT PUR,mesure-express-pur-lot3-local.json
humidificateur,8100,8100,1.0,31,,"0,27 $",PRODUIT PUR,mesure-express-pur-lot3-local.json
planche à découper,6600,5400,0.818,21,0,,UNIVERS,mission-b-28/08
oenologie,6600,12100,1.833,43,20,,UNIVERS,mission-b-28/08
walking pad,6600,8100,1.227,28,,"1,30 $",PRODUIT PUR,mesure-express-pur-lot1-local.json
pulvérisateur électrique,6600,8100,1.227,25,,"0,24 $",PRODUIT PUR,mesure-express-pur-lot2-local.json
lombricomposteur,6600,6600,1.0,25,,"0,27 $",PRODUIT PUR,mesure-express-pur-lot2-local.json
panneau japonais,6600,9900,1.5,21,,"0,56 $",PRODUIT PUR,mesure-express-pur-lot3-local.json
plateau bois,5400,5400,1.0,14,0,,UNIVERS,mission-b-28/08
plateau charcuterie,5400,8100,1.5,15,0,,UNIVERS,mission-b-28/08
rideau lin,5400,4400,0.815,19,0,,UNIVERS,mission-b-28/08
