id;titre;statut;famille;type;images;variantes;variantes_avec_image;visuels_variantes_distincts;option_visuelle;valeurs_option;classement;verdict_vs_cible
10977445183826;Bracelet FKM — tropical;actif;Accessoire;Accessoire;1;108;0;0;Couleur;36;critique;sous-cible
10980083859794;Rouleau de Voyage Vert — cuir;actif;Accessoire;Accessoire;1;3;3;1;Capacité;3;critique;sous-cible
10980393025874;Carte cadeau Maison Noirmont;actif;Accessoire;Carte cadeau;1;4;0;0;Valeurs;4;critique;sous-cible
10977444626770;Remontoir Solo;actif;Accessoire;Accessoire;2;2;0;0;Couleur;2;insuffisante;sous-cible
10977444790610;Remontoir Vitrine — 4+6;actif;Accessoire;Accessoire;2;1;0;0;Couleur;1;insuffisante;sous-cible
10977444856146;Coffret Douze — aluminium;actif;Accessoire;Accessoire;2;3;0;0;Capacité;3;insuffisante;sous-cible
10977444888914;Coffret Douze — présentation;actif;Accessoire;Accessoire;2;1;0;0;Couleur;1;insuffisante;sous-cible
10977444921682;Pince à barrettes — outil d'horloger;actif;Accessoire;Accessoire;2;3;0;0;Couleur;3;insuffisante;sous-cible
10980082909522;Remontoir Bois Acajou;actif;Accessoire;Accessoire;2;2;2;1;Capacité;2;insuffisante;sous-cible
10980083171666;Rouleau de Voyage Noir — cuir;actif;Accessoire;Accessoire;2;3;3;1;Capacité;3;insuffisante;sous-cible
10980083401042;Rouleau de Voyage Brun — cuir;actif;Accessoire;Accessoire;2;3;3;1;Capacité;3;insuffisante;sous-cible
10980083466578;Remontoir Collection Bois noir;actif;Accessoire;Accessoire;2;4;4;1;Capacité;4;insuffisante;sous-cible
10980083564882;Rouleau de Voyage Bleu marine — cuir;actif;Accessoire;Accessoire;2;3;3;1;Capacité;3;insuffisante;sous-cible
10980083728722;Remontoir Collection Bois beige;actif;Accessoire;Accessoire;2;4;4;1;Capacité;4;insuffisante;sous-cible
10980084121938;Remontoir Collection Bois LED rouge;actif;Accessoire;Accessoire;2;2;2;1;Capacité;2;insuffisante;sous-cible
10980084449618;Remontoir Collection Cuir PU;actif;Accessoire;Accessoire;2;3;3;1;Capacité;3;insuffisante;sous-cible
10980388831570;Doigtiers d'horloger — latex;actif;Accessoire;Outillage;2;6;0;0;Color;6;insuffisante;sous-cible
10977444954450;Barrettes de rechange — 270 pièces;actif;Accessoire;Accessoire;3;4;0;0;Conditionnement;4;insuffisante;OK
10977445052754;Bracelet Présidentiel — acier inoxydable;actif;Accessoire;Accessoire;3;4;0;0;Modèle;4;insuffisante;OK
10977445151058;Bracelet FKM — embouts courbes;actif;Accessoire;Accessoire;3;48;0;0;Couleur;16;insuffisante;OK
10977445216594;Loupe de date — minéral ou saphir;actif;Accessoire;Accessoire;3;8;0;0;Matière & taille;8;insuffisante;OK
