handle;item_id;shopify_id;touche_12_08;detruites;recuperees;confirmation;ventes;titre_api
28-5mm-dial-diy-arabic-alphabet-surface-no-date-watch-faces-mechanical-watch-replace-accessories-for-nh35-nh36-movement;1005007348127532;11017842458962;oui;16;16;image-API (exact);57;Cadran de 28.5mm, Surface de l'alphabet arabe, sans Date, visages de montre mécanique, accessoires de remplacement pour mouvement NH35/NH36
aiguilles-baton-argent-nh35;1005007884473587;11013069144402;oui;9;9;image-API (exact);900+;Aiguilles pour carnet de notes Nh35 NH36, aiguilles en argent poli, 8x12x12.5mm, Style bâton, Datejust, aiguilles de montre C3, remplacement lumineux bleu
aiguilles-c3-super-lume-62;1005010529978866;11013059674450;oui;7;7;image-API (exact);221;Aiguilles de montre C3 Super Lume 62MAS, pour NH35 NH36 NH38 NH70 NH71 NH72 4R35 4RS6 ETA2824 PT5000 SW200, accessoires MOD argent/gris pistolet
aiguilles-cathedrale-nh35;1005008331507670;11013069209938;non;0;0;2 sources locales;;
aiguilles-dauphine-polies-nh35;1005007896534058;11013069111634;oui;12;12;image-API (exact);1000+;NH35 NH38 aiguilles polies 10*14*15mm Dauphine Aiguille présage Cocktail Style montre montre à main accessoires aiguilles pointeur
aiguilles-gmt-nh34;1005008382665794;11013069177170;non;0;0;2 sources locales;;
aiguilles-nh35-or-rose-argent;1005007306682346;11013069013330;non;0;0;2 sources locales;;
aiguilles-plongeuse-nh35;1005008659046962;11013069046098;non;0;0;2 sources locales;;
aiguilles-sport-nh34-nh72;1005008019163632;11013059641682;non;0;0;2 sources locales;;
aiguilles-vintage-sub-nh35;1005008616812146;11013069078866;non;0;0;2 sources locales;;
boitier-36-40-4-finitions;1005007313498737;11013059576146;non;0;0;2 sources locales;;
boitier-argent-40-saphir-120-clics;1005009141784587;11013059477842;non;0;0;2 sources locales;;
boitier-argente-36-39-biseaute;1005006489170451;11013057708370;oui;10;10;image-API (exact);371;Neiton – boîtier de montre argenté 36mm/39mm, saphir adapté au mouvement NH36 NH34 NH35, bord biseauté, bonne qualité, acier inoxydable 316L
boitier-lunette-cannelee-36-39;1005008309552951;11013059412306;non;0;0;2 sources locales;;
boitier-octogonal-42-fond-saphir;1005008639164026;11013059543378;oui;5;5;titre-API + 2 sources locales;900+;Boîtier de montre automatique octogonal en acier inoxydable, 42mm, Bracelet MOD, dos Transparent saphir adapté à NH34 NH35 NH36 NH38 NH70 NH72
boitier-pilote-pvd-noir-36-39;1005009937589354;11013057675602;oui;10;10;image-API (exact);401;Pilot NH35 36MM/39MM PVD noir saphir cristal plongeur brossé boîtier de montre adapté NH34 NH35 NH36 PT5000 ETA 2824 mouvement vis couronne
boitier-plongee-40-200m-jubile;1005007805509882;11013059445074;non;0;0;2 sources locales;;
boitier-plongee-40-lunette-noire;1005006993985843;11013059608914;non;0;0;2 sources locales;;
