variant_id	sku_dsers	options	prix
gid://shopify/ProductVariant/54130354979154	14:1254#black 8-logo;5:646979416#PT5000-glass back	black 8-logo / PT5000-glass back	407.00
gid://shopify/ProductVariant/54130355011922	14:1254#black 8-logo;5:57037163#Miyota82-glass back	black 8-logo / Miyota82-glass back	318.00
gid://shopify/ProductVariant/54130355110226	14:1254#black 8-logo;5:57000035#Miyota82-steel back	black 8-logo / Miyota82-steel back	289.00
gid://shopify/ProductVariant/54130355142994	14:1254#black 8-logo;5:56964930#NH35-steel back	black 8-logo / NH35-steel back	328.00
gid://shopify/ProductVariant/54130355175762	14:1254#black 8-logo;5:57036539#NH35-glass back	black 8-logo / NH35-glass back	357.00
gid://shopify/ProductVariant/54130355208530	14:1254#black 8-logo;5:57086108#PT5000-steel back	black 8-logo / PT5000-steel back	378.00
gid://shopify/ProductVariant/54130355372370	14:496#black 4-logo;5:57036539#NH35-glass back	black 4-logo / NH35-glass back	357.00
gid://shopify/ProductVariant/54130355405138	14:496#black 4-logo;5:57086108#PT5000-steel back	black 4-logo / PT5000-steel back	378.00
gid://shopify/ProductVariant/54130355437906	14:496#black 4-logo;5:646979416#PT5000-glass back	black 4-logo / PT5000-glass back	407.00
gid://shopify/ProductVariant/54130355470674	14:496#black 4-logo;5:57037163#Miyota82-glass back	black 4-logo / Miyota82-glass back	318.00
gid://shopify/ProductVariant/54130355568978	14:496#black 4-logo;5:57000035#Miyota82-steel back	black 4-logo / Miyota82-steel back	289.00
gid://shopify/ProductVariant/54130355601746	14:496#black 4-logo;5:56964930#NH35-steel back	black 4-logo / NH35-steel back	328.00
gid://shopify/ProductVariant/54130355700050	14:201447303#black 7-logo;5:57000035#Miyota82-steel back	black 7-logo / Miyota82-steel back	289.00
gid://shopify/ProductVariant/54130355732818	14:201447303#black 7-logo;5:56964930#NH35-steel back	black 7-logo / NH35-steel back	328.00
gid://shopify/ProductVariant/54130356027730	14:201447303#black 7-logo;5:57036539#NH35-glass back	black 7-logo / NH35-glass back	357.00
