variant_id	sku_dsers	options	prix
gid://shopify/ProductVariant/54130353733970	14:193#blue;5:5203931210#Solid caseback	blue / Solid caseback	328.00
gid://shopify/ProductVariant/54130353832274	14:193#blue;5:5203931209#Glass caseback	blue / Glass caseback	357.00
gid://shopify/ProductVariant/54130353865042	14:173#black B;5:5203931210#Solid caseback	black B / Solid caseback	328.00
gid://shopify/ProductVariant/54130353963346	14:173#black B;5:5203931209#Glass caseback	black B / Glass caseback	357.00
gid://shopify/ProductVariant/54130353996114	14:29#silver;5:5203931210#Solid caseback	silver / Solid caseback	328.00
gid://shopify/ProductVariant/54130354094418	14:29#silver;5:5203931209#Glass caseback	silver / Glass caseback	357.00
gid://shopify/ProductVariant/54130354127186	14:100013777#green A;5:5203931210#Solid caseback	green A / Solid caseback	328.00
gid://shopify/ProductVariant/54130354225490	14:100013777#green A;5:5203931209#Glass caseback	green A / Glass caseback	357.00
gid://shopify/ProductVariant/54130354258258	14:200005100#black A;5:5203931210#Solid caseback	black A / Solid caseback	328.00
gid://shopify/ProductVariant/54130354323794	14:200005100#black A;5:5203931209#Glass caseback	black A / Glass caseback	357.00
gid://shopify/ProductVariant/54130354356562	14:1254#black D;5:5203931210#Solid caseback	black D / Solid caseback	328.00
gid://shopify/ProductVariant/54130354454866	14:1254#black D;5:5203931209#Glass caseback	black D / Glass caseback	357.00
gid://shopify/ProductVariant/54130354487634	14:201447598#green B;5:5203931210#Solid caseback	green B / Solid caseback	328.00
gid://shopify/ProductVariant/54130354585938	14:201447598#green B;5:5203931209#Glass caseback	green B / Glass caseback	357.00
gid://shopify/ProductVariant/54130354618706	14:865#black C;5:5203931210#Solid caseback	black C / Solid caseback	328.00
gid://shopify/ProductVariant/54130354717010	14:865#black C;5:5203931209#Glass caseback	black C / Glass caseback	357.00
gid://shopify/ProductVariant/54130354749778	14:366#white;5:5203931210#Solid caseback	white / Solid caseback	328.00
gid://shopify/ProductVariant/54130354848082	14:366#white;5:5203931209#Glass caseback	white / Glass caseback	357.00
