sku,handle,collection,title,seo_title,seo_description,price_ttc,cost_proxy_ae,tech,color,size,supplier_url,supplier_id,supplier_title,status_sourcing,confidence,description_file,notes
ORYS-001-CLA-NOI,seche-serviette-classique-chrome-standard-491840,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique classique, finition noir mat",Sèche-serviettes électrique mural noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,66.54,classique,noir,standard,https://fr.aliexpress.com/item/1005007931491840.html,1005007931491840,"Sèche-serviettes thermostatique électrique en acier inoxydable, chauffe-serviettes, câble GNE, religion domestique, hôte",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-classique-chrome-standard-491840.html,SERP q=towel radiator electric bathroom; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-001-CLA-CHR→ORYS-001-CLA-NOI (handle inchangé).
ORYS-002-CLA-NOI,seche-serviette-classique-chrome-standard-097721,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique classique, finition noir mat",Sèche-serviettes électrique mural noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,162.69,classique,noir,standard,https://fr.aliexpress.com/item/1005011880097721.html,1005011880097721,"Sèche-serviettes électrique mural moderne pour salle de bain, chauffe-serviettes 3 barres en acier inoxydable 220V/110V",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-classique-chrome-standard-097721.html,SERP q=towel warmer electric stainless; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-002-CLA-CHR→ORYS-002-CLA-NOI (handle inchangé).
ORYS-003-CLA-NOI,seche-serviette-classique-noir-standard-678904,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique classique, finition noir mat",Sèche-serviettes électrique mural noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,47.59,classique,noir,standard,https://fr.aliexpress.com/item/1005008997678904.html,1005008997678904,"Chauffe-serviettes électrique noir en acier inoxydable, pour salle de bain, porte-serviettes autoportant mural, étanche",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-classique-noir-standard-678904.html,SERP q=sèche serviette électrique mural; reconfirmer stock/ship panier
ORYS-004-CLA-NOI,seche-serviette-classique-noir-slim-132888,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique classique slim, finition noir mat",Sèche-serviettes électrique mural noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,41.28,classique,noir,slim,https://fr.aliexpress.com/item/1005012492132888.html,1005012492132888,"55 ° Sèche-serviettes électrique mural en aluminium, sans perçage, étanche IPX4, pour salle de bain, buanderie, maison, ",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-classique-noir-slim-132888.html,SERP q=sèche serviette électrique mural; reconfirmer stock/ship panier
ORYS-005-CLA-OR,seche-serviette-classique-or-standard-827902,Sèche-serviettes,"Orysbain Ligne Dorée — sèche-serviettes électrique classique, finition doré",Sèche-serviettes électrique mural doré | Orysbain,"Sèche-serviettes électrique finition doré : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,129.39,classique,or,standard,https://fr.aliexpress.com/item/1005007683827902.html,1005007683827902,"Porte-serviettes chauffant électrique or/Chrome, contrôle intelligent du temps de la température, chauffe-serviettes électrique en acier inoxydable pour salle de bain",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-classique-or-standard-827902.html,Remplace armoire UV 10L. Variante Gold-Exposed 220V EU China. exact() ambigu. Fret sœur ~17€. Confiance B. SERP 20/08 + variants 21/08.
ORYS-006-CLA-NOI,seche-serviette-classique-or-standard-756203,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique classique, finition noir mat",Sèche-serviettes électrique mural noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,67.39,classique,noir,standard,https://fr.aliexpress.com/item/1005010536756203.html,1005010536756203,OXG porte-serviettes chauffant minuterie intégrée salle de bain chauffe-serviettes électrique mural sèche-serviettes cha,FOURNISSEUR À TESTER,B,descriptions/seche-serviette-classique-or-standard-756203.html,SERP q=sèche serviette électrique mural; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-006-CLA-OR→ORYS-006-CLA-NOI (handle inchangé).
ORYS-007-CLA-STA,seche-serviette-classique-standard-slim-960550,Sèche-serviettes,"Orysbain Ligne Minérale — sèche-serviettes électrique classique slim, finition métal soigné",Sèche-serviettes électrique mural métal soigné | Orysbain,"Sèche-serviettes électrique finition métal soigné : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,137.39,classique,standard,slim,https://fr.aliexpress.com/item/1005005451960550.html,1005005451960550,"Porte-serviettes électrique métropolitain en acier inoxydable, sèche-serviettes thermostatique, 3 barres chrome",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-classique-standard-slim-960550.html,"Remplace armoire UV 5L. Variante commandée Chrome-3 Rods 220V China (137,39€ + 17,14€). Galerie 01 = barres inox/gunmetal — Ligne Minérale. Confiance B."
ORYS-008-TAC-OR,seche-serviette-tactile-or-standard-712285,Sèche-serviettes,"Orysbain Ligne Dorée — sèche-serviettes électrique tactile, finition doré",Sèche-serviettes électrique tactile doré | Orysbain,"Sèche-serviettes électrique finition doré : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,128.69,tactile,or,standard,https://fr.aliexpress.com/item/1005005448712285.html,1005005448712285,"HOGold-Sèche-serviettes électrique T1 avec câble GNE ou exposé, contrôle de la température, synchronisation métropolitaine",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-or-standard-712285.html,Remplace stérilisateur UV 5L. Variante Golden Exposed 220V EU China. exact() ambigu. Fret sœur ~17€. Confiance B.
ORYS-009-SMA-BLA,seche-serviette-smart-blanc-standard-763887,Sèche-serviettes,"Orysbain Ligne Blanche — sèche-serviettes électrique programmable, finition blanc",Sèche-serviettes électrique programmable blanc | Orysbain,"Sèche-serviettes électrique finition blanc : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,83.99,smart,blanc,standard,https://fr.aliexpress.com/item/1005005456763887.html,1005005456763887,"Porte-serviettes chauffant électrique en acier inoxydable avec écran tactile, White-F30 42x50",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-smart-blanc-standard-763887.html,"Remplace tapis chauffant sol. Variante White-F30 220V EU China. Fret 17,14€ Cainiao 8-21j. Confiance B."
ORYS-010-SMA-BLA,seche-serviette-smart-blanc-standard-281561,Sèche-serviettes,"Orysbain Ligne Blanche — sèche-serviettes électrique programmable, finition blanc",Sèche-serviettes électrique programmable blanc | Orysbain,"Sèche-serviettes électrique finition blanc : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,67.05,smart,blanc,standard,https://fr.aliexpress.com/item/1005007500281561.html,1005007500281561,"Porte-serviettes électrique métropolitain blanc, contrôle intelligent de la température et du temps, chauffe-serviettes,",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-smart-blanc-standard-281561.html,SERP q=heated towel rail chrome gold; reconfirmer stock/ship panier
